Size,OP,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1.0,1.0,0.00104987490130255,0.024766366379876524,0.03296426197288747,1.3156656077506237e-05,0.23844126995795403,5.9404168092771435e-05
1.0,2.0,0.22520679197065185,0.7569603279731929,0.5845274947121588,4.037650730080506e-07,0.0304774274602453,2.1576483118248723e-05
1.0,3.0,0.03450398678493461,0.928328797240979,0.614011252055259,2.2408909792876638e-08,0.004368992194979896,0.00017053425148379426
1.0,4.0,0.05513893179581161,0.06386633306149427,0.15773312697054612,0.00024267550712342255,0.00033535989221478255,0.5096309529860967
1.0,5.0,0.7594073578271208,0.8496491773394756,0.27655676435198573,6.212531307630718e-05,0.04002646001500504,0.010230508048979898
2.0,1.0,0.18574301871399598,0.04711095280993969,0.20281371943095972,3.9648584538672204e-08,0.19201216945290073,1.0109577561417315e-06
2.0,2.0,0.5617279049637391,0.020531634180207325,0.0041598575868015564,1.3717561955714308e-09,0.8764116211633427,0.00012668745540442695
2.0,3.0,0.08052363849262313,0.3345223162808234,0.5522848480673463,0.00017579231211376674,0.006181253397108858,0.14028131653213163
2.0,4.0,0.10950325200916834,0.3695292032235269,0.9261269746343583,1.9730061177229175e-05,0.0003225158427584879,0.5170412277161784
2.0,5.0,0.2782376082029184,0.8877677304260537,0.4139399147328825,4.724379370192975e-06,0.07400085136463246,0.296473615691519
3.0,1.0,0.18324569378968655,0.2712502155096003,0.15815008752454446,2.4067893846924347e-10,0.07073011248474519,9.940033348078943e-08
3.0,2.0,0.12379998908095448,0.4733419153825533,0.8825917938615626,1.7040536086359475e-07,0.9879245959405872,4.144088358410145e-05
3.0,3.0,0.013904115697693838,0.5307155419038354,0.8839702074279471,1.4561147698046954e-07,0.3745028276839748,0.0013763264087033498
3.0,4.0,0.05365622981095934,0.017080666580758283,0.0950768594034723,0.00025882660024400655,0.002900465047536433,0.25603309579885236
3.0,5.0,0.9871320958474488,0.10750365233148858,0.305251317076383,0.010574989965034684,0.7755794286568474,0.15604751980678072
4.0,1.0,0.9800466542367648,0.7201952440985261,0.1877242996270114,8.301680721213495e-07,0.3055768474548503,8.857626816471254e-05
4.0,2.0,0.5115814214902226,0.8898012368353709,0.9086923911310693,0.0024687028644701193,0.6607664580627997,0.05857552216537643
4.0,3.0,0.07840358449574923,0.05113444017583198,0.17538427978742235,9.150730774613554e-08,0.12720523370989875,3.59141261267558e-05
4.0,4.0,0.7047424429597372,0.06417997653443577,0.9089183562323561,4.685953472143158e-07,0.08504104228800935,0.0043696518234240525
4.0,5.0,0.6413970058721817,0.6576796244429188,0.3628808762963963,2.4836891798421242e-06,0.9929048503439217,0.7434297956086863
5.0,1.0,0.5199273124226942,0.16594356630995294,0.6316478908453589,0.0003350267549598416,0.4366942879285539,0.0016299834614066672
5.0,2.0,0.9944511025142053,0.2957519394071989,0.09679915581046321,2.1884187162929923e-06,0.2297608116358462,0.002868016114964325
5.0,3.0,0.238846117056972,0.4973246018690334,0.983336223218676,0.0003715351060027473,0.5397105878742365,0.17009437601669355
5.0,4.0,0.3616611991870693,0.03955797540265345,0.32890641217614025,9.846311620076091e-05,0.011807101040128427,0.5155993504972701
5.0,5.0,0.059356803424590314,0.28636399634821624,0.3900050168081245,5.1432834291012664e-09,0.0059546644419081005,0.006702941222386048
