DepVar,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
Mktrf,0.39134190247034595,0,0.7861611598197457,0.19340069646033212,0.021760225642386534,0.11159826422094912
SMB,0.894260993336691,0.7861611598197464,0,0.01458509357364379,0.9962432920850741,0.08893800924903508
HML,0.28640992069935695,0.19340069646033214,0.01458509357364379,0,0.0021121899838567604,9.623691201416553e-06
RMW,0.7665700542428463,0.021760225642386707,0.9962432920850741,0.0021121899838567604,0,0.00017997004462452234
SMB,0.5817134521177647,0.11159826422094864,0.08893800924903543,9.623691201416604e-06,0.00017997004462452304,0
