Size,OP,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1.0,1.0,0.016826709953783367,0.9846148640863646,-0.8833198836759915,0.9849249979196177,0.40865372903996094,1.170380847969232,0.9600740847180651
1.0,2.0,0.003450724203512259,0.08285454356836353,-0.14026524805275808,0.9158355029553051,-0.5423437111714213,0.8761175257999047,0.9773320053374127
1.0,3.0,-0.0047407166054438225,-0.017810495633822976,0.09577178834596514,0.8683856183195117,-0.5698720375007703,0.5232856749536211,0.9785412056733702
1.0,4.0,-0.009537017860858756,-0.8868728432709703,0.626435933799985,0.8206745743525432,-1.7984607858683406,0.15378823832544353,0.9290316454047025
1.0,5.0,0.0019466225687712474,0.11641214957701446,-0.6524747943240896,1.3077597969675891,-1.170477301189518,-0.9355642258863982,0.8891860648262958
2.0,1.0,0.00341639255524061,0.5186349097739481,-0.30271673170557817,1.0081681141086656,0.2774150723026836,1.0529311714674283,0.9757993142242303
2.0,2.0,0.0012257328597059408,0.5249064050856279,-0.6589452865805208,1.1198385290157657,-0.026915104004203494,0.5541750020441775,0.9834840404085161
2.0,3.0,-0.007144353013716179,-0.3654489187650336,0.21231295042570034,0.7085117423660896,-1.0138570823523743,0.296645474134384,0.9228131479403869
2.0,4.0,-0.005826659979320486,-0.3049465883532318,-0.029594446530681717,0.8003813559362276,-1.3534566684637748,-0.11317044002534973,0.9510235073233737
2.0,5.0,-0.005469305597931757,-0.0672835279390997,0.37652819653078784,1.3081283114835836,-0.7741753023792388,-0.26339057274200706,0.9048659533704624
3.0,1.0,-0.0028607369248579264,0.22617290693568204,-0.2812952881347277,1.2737403400669467,0.33023251568404444,1.0727867785366707,0.9844245099631728
3.0,2.0,-0.005140994677326751,-0.22315905385683216,-0.04343368284323651,1.1378740766368844,-0.003973773144091239,0.9459106465503573,0.9571547646846664
3.0,3.0,-0.008847992281664602,-0.19405325695927483,-0.04279134439196711,1.1499133663880525,-0.23615867346487657,0.6320272406663959,0.9538184144951906
3.0,4.0,-0.00895798509765509,-1.1161663906598063,0.7015635420641695,0.7598265812610187,-1.272800906917959,0.2513320331162189,0.8913747612530817
3.0,5.0,8.904972667285026e-05,0.9057102479065808,-0.5336089321878085,0.5857537813796204,0.1299778023951184,-0.40859470350651483,0.6083549646592581
4.0,1.0,-9.201941027686591e-05,0.12779898699386538,-0.4632458474726201,1.1445067098807356,0.3173561280866235,1.0097701549422475,0.9498718595181409
4.0,2.0,0.003415033898489677,-0.06915937635649597,-0.054623573206807885,0.6862950680395955,-0.1873490082920817,0.5256456628508174,0.7970162025710835
4.0,3.0,-0.0045189095971601536,-0.49150678142635085,0.3129677959662237,0.9087022424606983,-0.3177713027629207,0.7267274982109535,0.9610287577899438
4.0,4.0,-0.0010195870834740213,-0.5149328561732467,0.028340803780081886,0.8779203790955321,-0.4044929917691739,0.45396828565842096,0.95052274887979
4.0,5.0,-0.0019508345655893423,-0.17945591462336918,0.3561181080391898,1.1751844647129719,0.0030575732654488375,0.06853915943863143,0.8797909432480762
5.0,1.0,0.0031601937034669543,-0.6783768590539303,0.21653934487789428,0.8348167372747947,-0.31612759263867984,0.9480577757920545,0.8843518022277426
5.0,2.0,2.1722885448950766e-05,0.32288124241193017,-0.5062112079464033,0.8903922918525102,0.3183333839292402,0.5622539695998989,0.9276829655918322
5.0,3.0,-0.006471216684160107,-0.3540193757541509,-0.010301936156944302,0.9048330701935872,-0.27218077166173166,0.3814298249154089,0.807876861573962
5.0,4.0,-0.0035808963936156428,-0.838046628015756,0.3546328642337627,0.7581312966799372,-0.9135799385204335,0.12682399036724162,0.8880912971119508
5.0,5.0,0.004408401830911056,0.2294667276198752,-0.17515664380233448,1.0423246542071238,0.5772826565980319,-0.34424838773875066,0.9608610770438545
