Size,Inv,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1.0,1.0,0.009170801725926917,0.788263415107338,-0.5860074215475146,0.9861261547266019,0.22586022473344797,0.9871234081687112,0.960592257697081
1.0,2.0,0.004992197986762414,0.038612184703277375,-0.07376153379008046,0.9166132168387354,-0.3169918790392233,1.0453243476575285,0.9792033627185233
1.0,3.0,-0.007494183629762772,0.045857172113957775,0.13058810493298229,0.9961031553930928,-0.47789408720371906,0.5095068494578021,0.9523561767430482
1.0,4.0,0.001028701186081356,-0.16073598556055213,0.3107099610903025,0.8617147855231055,-0.9213230487789348,0.31453501553404606,0.9289200564363035
1.0,5.0,-0.00810568409701458,0.17620919824819614,0.36706748840730913,1.2953837193463065,-0.4442698838586683,-0.10823371645884314,0.8775050173755738
2.0,1.0,0.006133180083243352,0.7934804775237775,-0.6654899638850089,1.0228186547514722,0.4472361538547336,1.055070040599047,0.9812358151652257
2.0,2.0,0.0016619186811336487,0.3710387576472861,-0.23094760562948846,0.8952528378790561,-0.6146452223655888,0.24688267106795173,0.9369372304207803
2.0,3.0,-0.003655728587974377,-0.18763902062912857,0.19136403701511184,0.8656215269452119,-0.742934193776321,0.4292445466561967,0.9552056888004073
2.0,4.0,-0.010433097210904631,-0.8469309877875548,0.6690691251129823,0.8179910324302229,-1.3108016156893405,0.15263395627800025,0.9128989050450318
2.0,5.0,-0.0008374702876654135,0.9666510564683479,-0.16760722260523808,0.8238964839355769,0.2812114804381939,-0.47893421609759984,0.8880915270252658
3.0,1.0,0.005835230182051624,0.05299042757729089,-0.17629703816339048,1.0032494953762523,0.13405602753862453,1.1385830753429438,0.9746329257767025
3.0,2.0,-0.002065972762861905,0.17162837314936624,-0.2781848964386139,1.0292973364459128,-0.10224601463490907,0.7280877110687076,0.9541675936068015
3.0,3.0,-0.0052881329099522265,-0.19918015184570326,0.024870786504914227,0.9309498149685369,-0.35530406565939554,0.4966406790334858,0.9250817975212364
3.0,4.0,-0.006315197819749258,-0.7565979487365606,0.32682710052046315,0.8181455021270653,-1.1927131525659402,0.21375007330716267,0.9482718782438844
3.0,5.0,0.0004922185442559233,0.24783075975153268,0.19799736867197565,1.0415455495468926,0.277856435400364,-0.2277346335945964,0.9529746568690877
4.0,1.0,0.007819759840025094,0.30497813329431184,-0.6364201501953924,1.2214211899748024,0.4181079305981409,0.9207460653544497,0.9463088509169811
4.0,2.0,0.001980729111506928,0.07074682350372913,-0.2999559339715467,1.0189275749968676,0.038292968718395354,0.8650736419557437,0.9703719995367655
4.0,3.0,-0.006322998622175641,-0.055782150073211134,-0.33981219234909976,0.9867350965256299,-0.10188764164753181,0.5479667890841977,0.9530718368402207
4.0,4.0,-0.0018687272742742467,-0.6539652972364075,0.1686164831194318,0.8823523973535226,-0.7589060497289009,0.2417707483501513,0.9365879581242137
4.0,5.0,0.006901566822186433,0.22410675656091242,-0.3249804456075942,0.9801982094780318,0.37727245412979377,-0.3910052592347848,0.8872239538858989
5.0,1.0,-0.003334558877757377,-0.48024499821412725,0.045162128476709834,1.097247905903659,-0.014142987308776878,1.2236215207708165,0.9697113552890607
5.0,2.0,-0.004475612180839311,-0.41581285553469394,-0.1712356326821253,0.8638826510103551,-0.07004601971514401,0.6365902731698345,0.9323920660359875
5.0,3.0,-0.009787235425575346,-1.1074161168572954,0.6231144102734594,0.7649170482112138,-0.84639147940988,0.6317828790608218,0.9230347288800185
5.0,4.0,-0.0068846957269105905,-1.034648564337444,0.16470894813980375,0.684528455616323,-1.0801952308957963,0.15393266142907674,0.9677237897750943
5.0,5.0,0.0011229759555676593,-0.6464563327001106,-0.4737914646135107,1.2238993384950108,0.19472712164708766,-0.1990105175756041,0.917017261238023
