Size,OP,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1.0,1.0,2.6216120834179075,2.329637075202967,-1.814815771112654,7.776092216459347,0.7831592163789016,5.6322494877333975
1.0,2.0,2.003218534052073,0.16018309348100715,-0.32065260325705075,10.145896847820556,-1.542886028376484,8.372148103655805
1.0,3.0,-2.4433140055391736,0.15456743365301723,0.46123990713021445,8.958330244120258,-1.8898868032070304,3.315540125639085
1.0,4.0,0.2714595947286084,-0.43851539618539853,0.8882586283416685,6.272595744848566,-2.9490156210541567,1.6566633458134112
1.0,5.0,-1.5547244247446843,0.3494202702382177,0.7627425424056249,6.853777168021324,-1.0336173791206962,-0.4143579025975689
2.0,1.0,2.636400366825315,3.526287075752522,-3.099099068458305,12.128080909687883,2.3319097154617574,9.05224386644862
2.0,2.0,0.44156874158223197,1.0192098273388384,-0.6647683268671446,6.561483750163127,-1.9808985954746325,1.3092677414641634
2.0,3.0,-1.2591811808049966,-0.6681795958816082,0.7140734831718472,8.224511763938407,-3.103943503405282,2.950994316904322
2.0,4.0,-2.6425964036742746,-2.2177949059343454,1.8359332084932607,5.715232819085561,-4.027204976183285,0.7716459025074202
2.0,5.0,-0.24469600428904234,2.920000813957844,-0.530540450511733,6.640456222093324,0.9966431767157176,-2.7930752883954484
3.0,1.0,2.3118212275998062,0.2170448329849097,-0.7566753275175275,10.964100389840437,0.6442164078954933,9.00347755410309
3.0,2.0,-0.641111622162703,0.5506224529732715,-0.9352138023897026,8.810847932607418,-0.3848616420101639,4.509642000837811
3.0,3.0,-1.5301950682092005,-0.5958627926482932,0.07796546218891992,7.430850166298405,-1.2470785062460257,2.8683756850384867
3.0,4.0,-2.0036043664639327,-2.4816809248380465,1.1233403887750248,7.160170369224145,-4.5899737302837815,1.3535695944522117
3.0,5.0,0.21051918615834914,1.0958337999613925,0.9174056951297546,12.287959657520007,1.4414625106654486,-1.9440709056426544
4.0,1.0,2.0650602821152417,0.8326525054461157,-1.8207551321934639,8.897593640188745,1.3392970277832803,4.853203450694935
4.0,2.0,0.7716040626645532,0.28492603775663716,-1.265887703812636,10.949153269023938,0.18094127204377666,6.726231461911004
4.0,3.0,-2.187520498346038,-0.19951707376256797,-1.2736095406233614,9.416671455266627,-0.4275626254596516,3.7838384787338666
4.0,4.0,-0.6007874029136726,-2.1736287486313803,0.5872773116756991,7.825007496961582,-2.9594573789025773,1.551414892145172
4.0,5.0,2.0272976133811933,0.6805821191509164,-1.0341781174002014,7.942395606659428,1.3442315678752368,-2.2924597445506145
5.0,1.0,-1.1696270389080032,-1.7415166562222344,0.1716136047530966,10.616505001279009,-0.06017267827383924,8.566539535769563
5.0,2.0,-1.4255751937197612,-1.3692771702817492,-0.5908811392634827,7.590322581289167,-0.27062650300394536,4.047128449467533
5.0,3.0,-2.885247444614643,-3.3751232943792613,1.99002772634802,6.2202117445769005,-3.0265196209063276,3.7174076641680034
5.0,4.0,-3.116472596887129,-4.842026851814679,0.807725990423242,8.547475531655204,-5.931028324225845,1.390780673460586
5.0,5.0,0.2772291281241393,-1.6499218290526159,-1.2671380628282018,8.334545084740876,0.5831013234667781,-0.9806041756180125
