date,row_type,row_count,col_type,col_count,ExcessReturn
2017-07,OP,1,Size,1,0.0014352146358665625
2017-08,OP,1,Size,1,0.03231607830297589
2017-09,OP,1,Size,1,0.015434566788384873
2017-10,OP,1,Size,1,-0.03370955663795417
2017-11,OP,1,Size,1,-0.08459879540712721
2017-12,OP,1,Size,1,-0.023892450760496866
2018-01,OP,1,Size,1,-0.05744685472665602
2017-07,OP,2,Size,1,-0.01138302582324746
2017-08,OP,2,Size,1,0.023058823064700584
2017-09,OP,2,Size,1,0.005380419982657472
2017-10,OP,2,Size,1,-0.030769356237515255
2017-11,OP,2,Size,1,-0.08344759434534971
2017-12,OP,2,Size,1,-0.028675612735592583
2018-01,OP,2,Size,1,-0.031226539451274873
2017-07,OP,3,Size,1,-0.0016007408598671224
2017-08,OP,3,Size,1,0.01897002634447321
2017-09,OP,3,Size,1,0.013636585903777662
2017-10,OP,3,Size,1,-0.005415362351732319
2017-11,OP,3,Size,1,-0.03435525391560363
2017-12,OP,3,Size,1,-0.013281013711470998
2018-01,OP,3,Size,1,-0.03009993235833976
2017-07,OP,1,Size,2,0.03604160486717527
2017-08,OP,1,Size,2,0.03617124092879795
2017-09,OP,1,Size,2,0.019765137862600014
2017-10,OP,1,Size,2,-0.04071387581006558
2017-11,OP,1,Size,2,-0.05579740803201183
2017-12,OP,1,Size,2,-0.020022140197630527
2018-01,OP,1,Size,2,-0.035712816693086846
2017-07,OP,2,Size,2,0.016894270165471764
2017-08,OP,2,Size,2,0.030509895846566115
2017-09,OP,2,Size,2,0.007734332614338826
2017-10,OP,2,Size,2,-0.023104718718491308
2017-11,OP,2,Size,2,-0.07186756532259768
2017-12,OP,2,Size,2,-0.02696483580351165
2018-01,OP,2,Size,2,-0.024516766736380764
2017-07,OP,3,Size,2,-1.4927995412402256e-06
2017-08,OP,3,Size,2,0.023611250894509078
2017-09,OP,3,Size,2,0.006062532671699046
2017-10,OP,3,Size,2,-0.013883143474237076
2017-11,OP,3,Size,2,-0.059754479697391026
2017-12,OP,3,Size,2,-0.01253891410451521
2018-01,OP,3,Size,2,-0.022742292457400063
2017-07,OP,1,Size,3,0.08627547167275004
2017-08,OP,1,Size,3,0.01905626001138
2017-09,OP,1,Size,3,0.005280994456309213
2017-10,OP,1,Size,3,0.00900444709873083
2017-11,OP,1,Size,3,-0.035071130392905166
2017-12,OP,1,Size,3,-0.0016843265907875637
2018-01,OP,1,Size,3,0.034686201093114565
2017-07,OP,2,Size,3,0.03928318314660329
2017-08,OP,2,Size,3,0.030831887900357846
2017-09,OP,2,Size,3,-0.012335714407890542
2017-10,OP,2,Size,3,-0.0006793941630443822
2017-11,OP,2,Size,3,-0.012815774103675901
2017-12,OP,2,Size,3,-0.022032001531839273
2018-01,OP,2,Size,3,0.028577393274396786
2017-07,OP,3,Size,3,0.03380636466022637
2017-08,OP,3,Size,3,0.017697292827056264
2017-09,OP,3,Size,3,0.011242503390808546
2017-10,OP,3,Size,3,0.04178033598026211
2017-11,OP,3,Size,3,-0.005283397999558338
2017-12,OP,3,Size,3,0.012667631650562755
2018-01,OP,3,Size,3,0.0801404546549915
