date,row_type,row_count,col_type,col_count,ExcessReturn
2016-07,Inv,1,Size,1,0.005636263107951093
2016-08,Inv,1,Size,1,0.0648994251540608
2016-09,Inv,1,Size,1,0.02024388187214354
2016-10,Inv,1,Size,1,0.04521168923959718
2016-11,Inv,1,Size,1,0.050960824490896665
2016-12,Inv,1,Size,1,-3.611130015289414e-05
2017-01,Inv,1,Size,1,-0.024563665503245825
2017-02,Inv,1,Size,1,0.04026531470036084
2017-03,Inv,1,Size,1,-0.04133577886672151
2017-04,Inv,1,Size,1,-0.08334069184832822
2017-05,Inv,1,Size,1,-0.09498547997755659
2017-06,Inv,1,Size,1,0.0381965616934798
2016-07,Inv,2,Size,1,0.00014982579199196953
2016-08,Inv,2,Size,1,0.060039129243300945
2016-09,Inv,2,Size,1,0.01858024427658351
2016-10,Inv,2,Size,1,0.04659398560493044
2016-11,Inv,2,Size,1,0.023592585672214915
2016-12,Inv,2,Size,1,-0.012722099571161815
2017-01,Inv,2,Size,1,-0.015066552393544362
2017-02,Inv,2,Size,1,0.03698767423950787
2017-03,Inv,2,Size,1,-0.02329470775577614
2017-04,Inv,2,Size,1,-0.08313547972446184
2017-05,Inv,2,Size,1,-0.08648380013082535
2017-06,Inv,2,Size,1,0.046697715700743866
2016-07,Inv,3,Size,1,-0.0035007157627720722
2016-08,Inv,3,Size,1,0.05617961635542066
2016-09,Inv,3,Size,1,0.007036754129303105
2016-10,Inv,3,Size,1,0.043792807082488165
2016-11,Inv,3,Size,1,0.024981308905256308
2016-12,Inv,3,Size,1,-0.04011528263962576
2017-01,Inv,3,Size,1,-0.03244452926492209
2017-02,Inv,3,Size,1,0.045947832958659826
2017-03,Inv,3,Size,1,-0.023175008697273094
2017-04,Inv,3,Size,1,-0.053444937339181764
2017-05,Inv,3,Size,1,-0.08675334147357902
2017-06,Inv,3,Size,1,0.02960684015305001
2016-07,Inv,1,Size,2,0.011942316344659218
2016-08,Inv,1,Size,2,0.0452109749163016
2016-09,Inv,1,Size,2,-0.006254005308305724
2016-10,Inv,1,Size,2,0.0381869045205919
2016-11,Inv,1,Size,2,0.02242628667807125
2016-12,Inv,1,Size,2,-0.0326025561457661
2017-01,Inv,1,Size,2,-0.01079026881089814
2017-02,Inv,1,Size,2,0.04597620473389675
2017-03,Inv,1,Size,2,-0.027189493487285613
2017-04,Inv,1,Size,2,-0.051611755665283074
2017-05,Inv,1,Size,2,-0.08365311675783332
2017-06,Inv,1,Size,2,0.048528660982064556
2016-07,Inv,2,Size,2,0.007499699959070466
2016-08,Inv,2,Size,2,0.043445136426072985
2016-09,Inv,2,Size,2,-0.014830460249333032
2016-10,Inv,2,Size,2,0.03191074935293036
2016-11,Inv,2,Size,2,0.013984053991992635
2016-12,Inv,2,Size,2,-0.04228028878277183
2017-01,Inv,2,Size,2,-0.007561170795495815
2017-02,Inv,2,Size,2,0.04088010387926934
2017-03,Inv,2,Size,2,-0.016866085298239752
2017-04,Inv,2,Size,2,-0.06287574103106669
2017-05,Inv,2,Size,2,-0.07646567308269171
2017-06,Inv,2,Size,2,0.04749614154163219
2016-07,Inv,3,Size,2,-0.01067730385717161
2016-08,Inv,3,Size,2,0.0386140893092675
2016-09,Inv,3,Size,2,-0.024626739281623566
2016-10,Inv,3,Size,2,0.02026939611028641
2016-11,Inv,3,Size,2,0.013011995175558056
2016-12,Inv,3,Size,2,-0.04980937637291443
2017-01,Inv,3,Size,2,-0.02656422873021779
2017-02,Inv,3,Size,2,0.03556008605999659
2017-03,Inv,3,Size,2,-0.016651727727824552
2017-04,Inv,3,Size,2,-0.04519440475154166
2017-05,Inv,3,Size,2,-0.06696144136135859
2017-06,Inv,3,Size,2,0.0381828461883116
2016-07,Inv,1,Size,3,0.023665384158839547
2016-08,Inv,1,Size,3,0.028039863420720186
2016-09,Inv,1,Size,3,-0.034855211605925696
2016-10,Inv,1,Size,3,0.03317923629157745
2016-11,Inv,1,Size,3,0.04511008954533881
2016-12,Inv,1,Size,3,-0.02006992765959427
2017-01,Inv,1,Size,3,0.0530082196203246
2017-02,Inv,1,Size,3,0.005533479807092481
2017-03,Inv,1,Size,3,-0.02546664599625978
2017-04,Inv,1,Size,3,-0.027192993178085368
2017-05,Inv,1,Size,3,-0.017644855981363124
2017-06,Inv,1,Size,3,0.020568593708025714
2016-07,Inv,2,Size,3,0.03276343457664228
2016-08,Inv,2,Size,3,0.03863544514580447
2016-09,Inv,2,Size,3,-0.025758524129544668
2016-10,Inv,2,Size,3,0.025295882990893862
2016-11,Inv,2,Size,3,0.0551296969861937
2016-12,Inv,2,Size,3,-0.04645263696600047
2017-01,Inv,2,Size,3,0.02868582172608317
2017-02,Inv,2,Size,3,0.02480661624278249
2017-03,Inv,2,Size,3,0.008111901921470984
2017-04,Inv,2,Size,3,-0.011212200283457166
2017-05,Inv,2,Size,3,0.0101091666217848
2017-06,Inv,2,Size,3,0.037502491357023694
2016-07,Inv,3,Size,3,0.02371133397689083
2016-08,Inv,3,Size,3,0.035823644536032616
2016-09,Inv,3,Size,3,-0.026477001206911148
2016-10,Inv,3,Size,3,0.025320719821563087
2016-11,Inv,3,Size,3,0.0362058652587501
2016-12,Inv,3,Size,3,-0.061386498363256
2017-01,Inv,3,Size,3,0.008827527850181151
2017-02,Inv,3,Size,3,0.022429168061755458
2017-03,Inv,3,Size,3,-0.006196144356026368
2017-04,Inv,3,Size,3,-0.009696384570381338
2017-05,Inv,3,Size,3,-0.0005899570282802141
2017-06,Inv,3,Size,3,0.05192448434203454
