date,row_type,row_count,col_type,col_count,ExcessReturn
2017-07,BM,1,Size,1,-0.007270037366571751
2017-08,BM,1,Size,1,0.027296859242547034
2017-09,BM,1,Size,1,0.016569208090770678
2017-10,BM,1,Size,1,-0.02782384724567427
2017-11,BM,1,Size,1,-0.08259523076290232
2017-12,BM,1,Size,1,-0.02777461425214102
2018-01,BM,1,Size,1,-0.05929667914600801
2017-07,BM,2,Size,1,-0.005662992894039966
2017-08,BM,2,Size,1,0.02615161659442758
2017-09,BM,2,Size,1,0.0021779614084227058
2017-10,BM,2,Size,1,-0.03234392785288732
2017-11,BM,2,Size,1,-0.06441507227558194
2017-12,BM,2,Size,1,-0.024366737745410177
2018-01,BM,2,Size,1,-0.038243384778266366
2017-07,BM,3,Size,1,0.005119946031713714
2017-08,BM,3,Size,1,0.02519757131308776
2017-09,BM,3,Size,1,0.016070673993880732
2017-10,BM,3,Size,1,-0.01731318581295605
2017-11,BM,3,Size,1,-0.06971623141076044
2017-12,BM,3,Size,1,-0.014568103027640222
2018-01,BM,3,Size,1,-0.02307620969357119
2017-07,BM,1,Size,2,0.0036831154823348104
2017-08,BM,1,Size,2,0.03549939851143633
2017-09,BM,1,Size,2,0.02067676289900806
2017-10,BM,1,Size,2,-0.03366491506688133
2017-11,BM,1,Size,2,-0.06743743390975974
2017-12,BM,1,Size,2,-0.023535405697474778
2018-01,BM,1,Size,2,-0.042849337459682744
2017-07,BM,2,Size,2,0.01845953873129122
2017-08,BM,2,Size,2,0.025089818510146727
2017-09,BM,2,Size,2,0.014847622883210837
2017-10,BM,2,Size,2,-0.020592057667622402
2017-11,BM,2,Size,2,-0.059627256540862573
2017-12,BM,2,Size,2,-0.01727616453291089
2018-01,BM,2,Size,2,-0.031680486606297305
2017-07,BM,3,Size,2,0.03823901480555755
2017-08,BM,3,Size,2,0.032858544878770664
2017-09,BM,3,Size,2,-0.0025856261710530504
2017-10,BM,3,Size,2,-0.02876887201359413
2017-11,BM,3,Size,2,-0.060408275523640614
2017-12,BM,3,Size,2,-0.02043561653578689
2018-01,BM,3,Size,2,-0.0067344507196700956
2017-07,BM,1,Size,3,0.0005390930271529402
2017-08,BM,1,Size,3,0.036914663962659695
2017-09,BM,1,Size,3,0.03766332297953104
2017-10,BM,1,Size,3,0.05927194424493719
2017-11,BM,1,Size,3,-0.04256385225186293
2017-12,BM,1,Size,3,0.023674536915861365
2018-01,BM,1,Size,3,-0.0004514666014217486
2017-07,BM,2,Size,3,0.0296766481220963
2017-08,BM,2,Size,3,0.007166141878778174
2017-09,BM,2,Size,3,0.016562628084808326
2017-10,BM,2,Size,3,0.03218412473336132
2017-11,BM,2,Size,3,-0.03214449551335546
2017-12,BM,2,Size,3,0.018772068187850828
2018-01,BM,2,Size,3,0.005854595315369243
2017-07,BM,3,Size,3,0.05611105640905725
2017-08,BM,3,Size,3,0.0199741359280354
2017-09,BM,3,Size,3,-0.005583434340882639
2017-10,BM,3,Size,3,0.019849514756617198
2017-11,BM,3,Size,3,0.002927432334966958
2017-12,BM,3,Size,3,-0.004913782126325962
2018-01,BM,3,Size,3,0.09421689591007622
