date,Mktrf,SMB,HML,RMW,CMA
2016-07,0.01858,-0.019623749435006214,0.024214594226929353,0.014107255070973341,0.007711700134543846
2016-08,0.040034,0.02223730655863804,0.006117355196876319,-0.008125122977748478,0.004412559717370035
2016-09,-0.020612,0.0354414821158966,-0.0004090452227722523,-0.0004141778471620054,0.011066856117262993
2016-10,0.028997000000000002,0.01219036819324129,0.001484950205294877,-0.015227249831378159,0.008254808823069455
2016-11,0.043315,-0.013056799722516306,0.025746399690762787,-0.004011542540105467,0.01638886281652112
2016-12,-0.045863,0.021605795217508536,0.012342005756528013,-0.00920313710398957,0.041223860115937185
2017-01,0.012816999999999999,-0.04032892167035248,0.03915742960683917,0.0043476604568570346,0.025744270627179835
2017-02,0.02493,0.01927281298195535,0.0017131544475811541,-0.007969050999347846,-0.0073006277471011835
2017-03,-0.005921,-0.017135001725625803,0.010080276222464957,0.03120943050995529,-0.01750850053185324
2017-04,-0.022897,-0.04411073655412969,0.03308529617274336,0.042484374788085616,-0.028675773017854567
2017-05,-0.016881,-0.0626252050152276,0.053935468922729365,0.059150280307226605,-0.012058287277266093
2017-06,0.041967000000000004,-0.004256115386814377,-0.012506851457912166,-0.015014138451870787,-0.008204268641360202
